,LOT,Date,Equipment,Die_Number,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Spray_Time_1,Spray_Time_2,Humidity,Temperature,Casting_Pressure,Pressure_Increase_Time,Short_Shot,Ejection_Pin_Burr,Soldering,Shrinkage,Stain,Corepin_Soldering,Crack
168,180102-021-0104,2018-01-02,021,0104,0.094,0.232,0.376,0.2,0.3,21.121,19.397,679,0.041,8,0,0,0,0,0,0
169,180102-021-0104,2018-01-02,021,0104,0.094,0.232,0.371,0.2,0.3,27.085,15.406,680,0.041,8,0,0,0,0,0,0
170,180102-021-0104,2018-01-02,021,0104,0.094,0.234,0.371,0.2,0.3,22.125,18.012,680,0.045,8,0,0,0,0,0,0
171,180102-021-0104,2018-01-02,021,0104,0.088,0.216,0.371,0.2,0.3,26.793,15.581,680,0.043,8,0,0,0,0,0,0
172,180102-021-0104,2018-01-02,021,0104,0.09,0.222,0.365,0.2,0.3,20.894,19.149,679,0.044,8,0,0,0,0,0,0
173,180102-021-0104,2018-01-02,021,0104,0.094,0.232,0.373,0.2,0.3,24.807,16.429,680,0.041,8,0,0,0,0,0,0
174,180102-021-0104,2018-01-02,021,0104,0.092,0.226,0.373,0.2,0.3,24.496,16.609,680,0.041,8,0,0,0,0,0,0
175,180102-021-0104,2018-01-02,021,0104,0.09,0.23,0.373,0.2,0.3,21.777,18.332,681,0.041,8,0,0,0,0,0,0
176,180102-021-0104,2018-01-02,021,0104,0.092,0.224,0.368,0.2,0.3,25.908,15.917,679,0.043,8,0,0,0,0,0,0
177,180102-021-0104,2018-01-02,021,0104,0.091,0.228,0.379,0.2,0.3,25.557,16.151,680,0.041,8,0,0,0,0,0,0
178,180102-021-0104,2018-01-02,021,0104,0.092,0.227,0.379,0.2,0.3,21.15,19.32,679,0.043,8,0,0,0,0,0,0
179,180102-021-0104,2018-01-02,021,0104,0.092,0.228,0.373,0.2,0.3,26.058,15.904,680,0.045,8,0,0,0,0,0,0
180,180102-021-0104,2018-01-02,021,0104,0.092,0.226,0.371,0.2,0.3,24.496,16.609,680,0.041,8,0,0,0,0,0,0
181,180102-021-0104,2018-01-02,021,0104,0.091,0.23,0.373,0.2,0.3,26.552,15.634,680,0.045,8,0,0,0,0,0,0
182,180102-021-0104,2018-01-02,021,0104,0.093,0.232,0.368,0.2,0.3,21.777,18.332,681,0.041,8,0,0,0,0,0,0
183,180102-021-0104,2018-01-02,021,0104,0.094,0.236,0.379,0.2,0.3,22.511,17.759,681,0.041,8,0,0,0,0,0,0
184,180102-021-0104,2018-01-02,021,0104,0.09,0.232,0.373,0.2,0.3,25.455,16.21,679,0.041,8,0,0,0,0,0,0
185,180102-021-0104,2018-01-02,021,0104,0.092,0.224,0.371,0.2,0.3,22.511,17.759,680,0.043,8,0,0,0,0,0,0
